Frame,X,Y
0,118.0,100.0
1,97.36734693877551,244.5831128284192
2,113.73469387755102,379.70900464224457
3,111.10204081632654,496.53905384398723
4,170.46938775510205,587.4313749130472
5,180.83673469387756,646.4406762308965
6,163.20408163265307,669.7071432343921
7,118.57142857142856,655.7089099436395
8,170.9387755102041,605.3616046326101
9,127.30612244897958,521.9584583329299
10,150.67346938775512,410.95489369001297
11,235.0408163265306,279.6116842734639
12,157.40816326530611,136.52002538900655
13,166.77551020408163,208.96041835978195
14,172.14285714285714,347.3137312970081
15,246.51020408163265,469.49018532543926
16,231.87755102040816,567.4981851202647
17,222.24489795918367,634.9270005683633
18,227.6122448979592,667.3660943810429
19,252.9795918367347,662.6936165462366
20,297.34693877551024,621.2151951190133
21,284.7142857142857,545.6439450067771
22,296.0816326530612,440.92300237999325
23,330.44897959183675,313.9021927812435
24,300.81632653061223,172.88998216016878
25,357.1836734693877,172.889982160168
26,361.55102040816325,313.9021927812428
27,306.9183673469388,440.9230023799926
28,356.2857142857143,545.6439450067769
29,339.65306122448976,621.215195119013
30,358.0204081632653,662.6936165462365
31,407.38775510204084,667.366094381043
32,332.7551020408163,634.9270005683636
33,338.1224489795918,567.4981851202649
34,369.48979591836735,469.4901853254398
35,437.85714285714283,347.3137312970083
36,427.2244897959184,208.96041835978298
37,373.59183673469386,136.520025389006
38,368.9591836734694,279.61168427346286
39,397.3265306122449,410.95489369001234
40,447.6938775510204,521.9584583329291
41,459.0612244897959,605.3616046326097
42,488.42857142857144,655.7089099436394
43,465.7959183673469,669.7071432343921
44,453.16326530612247,646.4406762308967
45,440.53061224489795,587.4313749130479
46,478.8979591836735,496.53905384398763
47,475.265306122449,379.7090046422456
48,534.6326530612245,244.58311282841987
49,555.0,100.00000000000028
