id,Predicted_Occupation,Job,Smart,Technical,Analytical,Practical,Creative,Leadership,Hard,Caring,Communication,Persuasive,Integrity,Imagination,Risk,Spontaneous,Determination,Patience,Knowledge,Wisdom
1,Science,Research Scientist,4,3,4,1,4,5,2,5,2,2,5,1,5,2,1,5,2,2
2,Science,Lab Technician,4,3,1,4,1,5,3,4,5,2,5,3,2,3,2,5,1,2
3,Science,Data Analyst,4,3,1,5,3,5,1,2,5,4,1,2,3,5,2,5,1,3
4,Science,Biologist,4,3,1,5,5,5,5,4,5,5,2,1,5,2,5,3,4,3
5,Science,Chemist,4,3,2,3,3,5,5,1,5,4,4,4,2,2,3,3,3,1
6,Science,Physicist,4,3,1,2,1,5,5,2,1,2,1,5,2,2,3,4,5,4
7,Science,Environmental Scientist,4,3,3,1,5,1,4,4,3,4,5,3,3,3,1,5,2,2
8,Science,Geologist,4,3,2,1,2,2,2,2,2,1,3,5,3,2,4,5,1,2
9,Science,Astronomer,4,3,4,5,2,1,2,3,5,4,5,3,2,5,4,3,2,2
10,Science,Microbiologist,4,3,3,1,1,2,1,5,5,1,3,1,3,1,1,4,1,1
11,Technology,Software Engineer,1,4,3,4,2,4,3,5,4,2,5,2,1,2,4,1,5,4
12,Technology,Data Scientist,3,4,3,4,5,3,3,4,1,5,1,2,3,2,4,5,5,2
13,Technology,Web Developer,5,4,3,1,1,1,5,3,1,1,1,4,4,1,3,1,2,4
14,Technology,Systems Analyst,4,4,3,3,4,4,3,2,2,2,5,1,5,1,4,1,5,2
15,Technology,IT Manager,3,4,3,4,5,2,1,4,5,4,5,2,5,5,5,1,3,4
16,Technology,Cybersecurity Analyst,5,4,3,5,2,3,1,4,2,3,1,5,4,4,3,3,5,5
17,Technology,Database Administrator,4,4,3,3,2,2,3,3,2,1,4,5,2,4,2,3,3,1
18,Technology,AI Engineer,1,4,3,2,2,4,2,3,1,1,4,5,2,3,1,3,2,5
19,Technology,Network Engineer,4,4,3,1,4,2,5,1,4,5,2,1,2,2,4,3,5,4
20,Technology,DevOps Engineer,5,4,3,1,5,5,2,1,5,3,5,4,5,1,2,4,1,1
21,Service,Customer Service Representative,3,2,2,4,4,1,3,4,3,2,1,4,2,2,2,5,5,1
22,Service,Social Worker,5,4,4,4,2,1,3,5,3,4,1,2,1,4,4,1,3,1
23,Service,Consultant,3,1,4,4,3,5,4,4,3,1,1,4,3,1,2,2,3,5
24,Service,Human Resources Manager,3,4,2,4,4,4,5,2,3,1,4,3,3,5,5,3,1,2
25,Service,Receptionist,2,1,2,4,3,5,5,3,3,2,5,5,3,1,3,1,1,2
26,Service,Bank Teller,4,2,1,4,4,5,2,2,3,4,4,4,3,5,2,4,1,2
27,Service,Travel Agent,1,2,3,4,3,2,3,1,3,3,1,2,4,5,2,2,3,4
28,Service,Waiter,3,5,1,4,1,2,3,4,3,2,1,1,2,3,2,5,1,4
29,Service,Cleaner,5,1,3,4,5,4,4,2,3,4,1,4,4,5,1,4,4,1
30,Service,Security Guard,1,1,4,4,5,5,5,2,3,1,1,4,3,3,3,3,1,4
31,Arts,Graphic Designer,5,3,4,5,4,5,2,2,3,4,4,3,5,2,5,3,4,5
32,Arts,Musician,3,2,1,2,4,5,2,5,4,1,2,3,5,1,5,2,5,2
33,Arts,Painter,3,3,1,1,4,5,2,2,5,3,3,3,2,4,1,1,4,1
34,Arts,Photographer,2,2,3,3,4,4,2,2,3,3,5,3,5,4,5,1,2,5
35,Arts,Sculptor,5,5,5,2,4,1,2,1,5,1,2,3,4,3,5,3,5,5
36,Arts,Actor,1,2,2,1,4,5,2,5,4,1,4,3,4,4,2,5,5,3
37,Arts,Dancer,2,4,5,4,4,3,2,5,1,4,1,3,4,5,5,3,4,1
38,Arts,Writer,2,2,4,2,4,4,5,5,4,3,4,3,4,4,5,4,5,2
39,Arts,Fashion Designer,1,3,2,1,4,1,2,4,5,2,5,3,4,3,2,1,4,1
40,Arts,Film Director,2,5,1,4,4,2,1,1,2,1,2,3,4,4,4,1,1,4
41,Medical,Doctor,2,2,5,4,4,3,4,4,4,4,3,3,3,3,1,4,3,3
42,Medical,Nurse,5,5,3,1,3,4,5,4,3,5,1,1,5,2,1,3,3,3
43,Medical,Pharmacist,3,4,2,5,1,5,1,4,1,2,4,2,5,1,3,4,3,1
44,Medical,Dentist,2,3,3,3,4,2,2,4,2,4,1,4,1,1,4,2,3,5
45,Medical,Veterinarian,2,4,1,3,5,5,1,4,5,3,2,3,1,5,1,2,3,1
46,Medical,Physical Therapist,3,4,1,1,5,3,2,4,4,2,5,3,4,4,3,5,3,1
47,Medical,Surgeon,5,4,1,5,3,5,5,4,1,1,4,5,5,3,5,4,3,3
48,Medical,Radiologist,1,5,4,1,2,3,2,4,5,3,2,4,5,1,4,2,3,3
49,Medical,Paramedic,3,1,3,2,4,3,2,4,2,5,2,4,1,2,1,4,3,2
50,Medical,Occupational Therapist,4,4,1,2,2,3,4,4,3,5,4,3,1,2,4,5,3,5
51,Government,Politician,1,2,2,4,1,4,3,1,3,3,5,4,1,4,3,3,5,5
52,Government,Police Officer,2,1,5,2,3,4,1,2,5,1,3,5,3,3,3,4,3,2
53,Government,Civil Servant,5,2,5,5,3,4,2,1,2,4,2,1,3,4,3,2,5,5
54,Government,Judge,2,2,3,1,4,4,5,1,3,2,5,2,1,4,3,2,4,5
55,Government,Lawyer,3,1,3,3,3,4,3,5,4,4,2,4,1,1,3,3,4,3
56,Government,Diplomat,4,5,1,3,2,4,4,3,3,3,2,4,3,1,3,4,3,2
57,Government,Army Officer,2,4,5,3,1,4,2,4,1,2,1,5,2,5,3,4,5,3
58,Government,Tax Officer,5,3,5,4,5,4,3,3,3,1,4,4,5,1,3,3,2,2
59,Government,Customs Officer,4,5,1,2,4,4,2,5,4,2,2,4,3,5,3,3,2,4
60,Government,Mayor,2,4,2,1,2,4,5,2,2,3,5,2,2,1,3,3,1,3
61,Teaching,Professor,1,3,3,4,3,4,4,2,4,3,3,2,4,3,4,2,4,3
62,Teaching,High School Teacher,1,2,5,4,5,2,1,3,4,3,4,3,4,4,2,2,1,5
63,Teaching,Primary School Teacher,5,4,3,5,1,3,3,4,4,2,1,1,1,1,1,2,1,5
64,Teaching,Tutor,3,3,5,4,3,1,1,4,4,1,5,3,5,3,2,2,4,2
65,Teaching,Education Consultant,5,1,2,2,2,3,1,5,4,5,2,3,3,2,2,2,2,3
66,Teaching,Curriculum Developer,1,1,2,1,1,2,5,5,4,4,5,1,2,2,1,2,3,5
67,Teaching,School Counselor,5,4,4,2,1,2,2,2,4,4,4,1,1,5,5,2,2,5
68,Teaching,Special Education Teacher,1,3,1,1,3,5,2,2,4,1,5,4,2,4,5,2,3,1
69,Teaching,Librarian,3,3,3,1,5,1,4,1,4,3,4,4,2,5,1,2,2,4
70,Teaching,Researcher,3,1,3,5,4,2,4,4,4,4,2,1,3,5,4,2,1,1
71,Commerce,Accountant,3,4,4,3,4,5,4,5,1,3,2,2,4,1,1,1,4,1
72,Commerce,Financial Analyst,3,5,4,2,2,2,3,5,5,5,1,2,1,4,2,1,3,2
73,Commerce,Banker,3,3,4,5,2,5,2,5,4,5,1,4,3,2,2,4,1,3
74,Commerce,Stockbroker,3,5,4,1,3,1,4,1,5,1,3,4,4,2,3,2,1,5
75,Commerce,Business Consultant,3,3,4,1,2,1,2,1,1,4,2,3,4,2,4,2,1,3
76,Commerce,Sales Manager,3,1,4,1,4,2,2,4,4,1,3,5,2,4,5,5,3,3
77,Commerce,Marketing Specialist,3,3,4,4,2,4,4,2,1,2,1,5,4,1,4,4,1,3
78,Commerce,Entrepreneur,3,1,4,2,3,2,1,5,2,4,4,4,4,1,3,1,5,1
79,Commerce,Real Estate Agent,3,3,4,1,5,4,2,2,3,4,3,5,3,4,2,3,4,4
80,Commerce,Retail Manager,3,4,4,5,1,2,5,1,1,3,1,3,2,2,5,2,1,1
81,Agriculture,Farmer,4,3,5,1,4,4,4,5,2,3,1,2,3,4,1,3,1,3
82,Agriculture,Agronomist,5,2,5,4,3,2,4,4,5,4,5,2,3,3,3,4,5,3
83,Agriculture,Agricultural Engineer,2,2,1,5,1,3,4,2,3,2,1,4,2,5,3,1,3,3
84,Agriculture,Soil Scientist,5,5,3,3,5,5,4,2,4,3,3,5,5,2,3,1,4,3
85,Agriculture,Horticulturist,1,2,1,2,4,4,4,4,2,3,3,2,1,1,3,5,4,3
86,Agriculture,Veterinary Technician,5,5,4,2,5,5,4,2,3,2,1,1,2,3,2,2,1,3
87,Agriculture,Fisheries Officer,1,4,1,5,1,2,4,2,5,3,3,2,1,1,2,5,1,3
88,Agriculture,Agricultural Inspector,5,4,3,4,1,4,4,3,2,4,5,5,4,4,3,1,1,3
89,Agriculture,Farm Manager,4,1,3,4,4,4,4,2,5,1,5,4,5,2,3,4,4,3
90,Agriculture,Animal Husbandry Specialist,3,2,1,4,3,1,4,1,3,1,5,2,3,5,3,1,3,3
